학생번호 점수 결석일수 학점
1 84.56 1 B0
2 85.96 0 B+
3 78.36 1 C+
4 82.40 0 B0
5 75.30 3 C+
6 72.48 4 C0
7 78.84 3 C+
8 88.50 1 B+
9 88.66 1 B+
10 92.20 0 A0
11 83.00 1 B0
12 77.76 1 C+
13 75.26 1 C+
14 80.06 1 B0
15 81.38 0 B0
16 91.88 0 A0
17 70.24 2 C0
18 67.04 5 F
19 70.68 4 C0
20 84.08 1 B0
21 86.84 0 B+
22 88.08 0 B+
23 88.48 2 B+
24 70.28 6 F
25 83.70 1 B0
26 82.72 3 B0
27 93.32 0 A0
28 84.60 0 B0
29 66.72 3 D+
30 84.28 0 B0
31 69.68 1 D+
32 74.34 4 C0
33 84.64 1 B0
34 77.32 1 C+
35 71.36 4 C0
36 95.12 0 A+
37 79.86 4 C+
38 89.10 0 B+
39 78.44 5 F
40 82.44 2 B0
41 91.00 0 A0
42 88.34 1 B+
43 88.96 0 B+
44 80.14 1 B0
45 91.92 0 A0
46 88.68 1 B+
47 91.36 1 A0
48 76.22 5 F
49 83.18 2 B0
50 74.02 4 C0
51 77.82 2 C+
52 74.16 2 C0
53 82.06 0 B0
54 77.56 0 C+
55 72.94 3 C0
56 86.46 2 B+
57 69.08 2 D+
58 89.42 3 B+
59 74.20 4 C0
60 81.04 0 B0
61 82.86 2 B0
62 86.98 1 B+
63 80.46 4 B0
64 81.28 0 B0
65 91.40 7 F
66 85.52 6 F
67 80.24 0 B0
68 81.70 0 B0
69 95.68 0 A+
70 87.36 1 B+
71 89.98 0 B+
72 74.36 3 C0
73 90.38 2 A0
74 71.84 4 C0
75 86.72 1 B+
76 70.30 1 C0
77 88.54 4 B+
78 91.40 1 A0
79 79.94 3 C+
80 91.00 0 A0
81 86.78 6 F
82 89.94 1 B+
83 76.82 1 C+
84 75.34 3 C+
85 78.54 2 C+
86 84.64 0 B0
87 90.28 1 A0
88 88.62 0 B+
89 81.16 1 B0
90 81.20 2 B0
91 76.66 3 C+
92 86.04 1 B+
93 88.02 0 B+
94 78.50 1 C+
95 83.34 1 B0
96 76.68 1 C+
97 88.88 1 B+
98 92.90 1 A0
99 79.82 1 C+
100 88.80 1 B+
